"Datetime","count"
2022_04_10_16_51_00,0
2022_04_10_16_53_01,0
2022_04_10_16_55_02,0
2022_04_10_16_57_03,0
2022_04_10_16_59_04,0
2022_04_10_17_01_05,0
2022_04_10_17_03_07,1
2022_04_10_17_05_08,0
2022_04_10_17_07_09,0
2022_04_10_17_09_10,0
2022_04_10_17_11_11,0
2022_04_10_17_15_12,0
2022_04_10_18_02_20,1
2022_04_10_18_04_21,0
2022_04_10_18_06_22,1
2022_04_10_18_08_22,0
2022_04_10_18_14_25,0
2022_04_10_18_16_26,0
2022_04_10_18_36_01,0
2022_04_10_18_40_03,0
2022_04_10_18_44_05,0
2022_04_10_18_46_06,0
2022_04_10_18_52_08,0
2022_04_10_18_54_09,0
2022_04_10_18_56_10,0
2022_04_10_18_58_11,0
2022_04_10_19_00_12,0
2022_04_10_19_02_13,0
2022_04_10_19_04_13,0
2022_04_10_19_06_14,0
2022_04_10_19_08_15,0
2022_04_10_19_10_15,0
2022_04_10_19_14_17,0
2022_04_10_19_16_17,0
2022_04_10_19_18_18,0
2022_04_10_19_20_19,0
2022_04_10_19_22_20,0
2022_04_10_19_24_20,1
2022_04_10_19_26_21,0
2022_04_10_19_30_22,0
2022_04_10_19_32_23,0
2022_04_10_19_36_24,0
2022_04_10_19_40_27,0
2022_04_10_19_44_29,0
2022_04_10_19_46_30,1
2022_04_10_19_48_31,0
2022_04_10_19_50_32,0
2022_04_10_19_52_33,0
2022_04_10_19_58_36,1
2022_04_10_20_00_37,0
2022_04_10_20_04_39,0
2022_04_10_20_06_39,0
2022_04_10_20_10_41,1
2022_04_10_20_12_41,0
2022_04_10_20_14_43,2
2022_04_10_20_18_44,0
2022_04_10_20_20_45,0
2022_04_10_20_22_46,0
2022_04_10_20_28_49,0
2022_04_10_20_34_51,0
2022_04_10_20_36_52,0
2022_04_10_20_38_52,0
2022_04_10_20_40_53,0
2022_04_10_20_42_54,0
2022_04_10_20_46_57,0
2022_04_10_20_48_58,0
2022_04_10_20_50_59,0
2022_04_10_20_55_01,0
2022_04_10_20_57_02,0
2022_04_10_21_01_05,0
2022_04_10_21_03_05,0
2022_04_10_21_05_06,0
2022_04_10_21_07_07,0
2022_04_10_21_09_09,0
2022_04_10_21_11_09,0
2022_04_10_21_15_11,0
2022_04_10_21_19_13,0
2022_04_10_21_21_14,0
2022_04_10_21_31_19,0
2022_04_10_21_33_20,0
2022_04_10_21_35_21,0
2022_04_10_21_39_23,1
2022_04_10_21_41_23,0
2022_04_10_21_45_25,1
2022_04_10_21_47_26,1
2022_04_10_21_49_27,1
2022_04_10_21_51_27,0
2022_04_10_21_53_28,0
2022_04_10_21_55_29,1
2022_04_10_21_57_29,1
2022_04_10_22_01_31,1
2022_04_10_22_03_32,0
2022_04_10_22_05_33,0
2022_04_10_22_07_34,1
2022_04_10_22_11_36,1
2022_04_10_22_13_37,0
2022_04_10_22_15_38,0
2022_04_10_22_17_38,1
2022_04_10_22_19_39,2
2022_04_10_22_21_40,2
2022_04_10_22_23_41,1
2022_04_10_22_25_42,1
2022_04_10_22_27_43,3
2022_04_10_22_31_45,0
2022_04_10_22_33_46,1
2022_04_10_22_35_47,2
2022_04_10_22_37_47,2
2022_04_10_22_39_48,2
2022_04_10_22_41_49,1
2022_04_10_22_45_51,3
2022_04_10_22_51_54,2
2022_04_10_22_53_55,0
2022_04_10_22_57_57,4
2022_04_10_23_04_00,3
2022_04_10_23_06_01,0
2022_04_10_23_08_02,4
2022_04_10_23_10_03,3
2022_04_10_23_12_04,2
2022_04_10_23_14_05,0
2022_04_10_23_16_05,1
2022_04_10_23_18_06,2
2022_04_10_23_20_07,2
2022_04_10_23_28_11,1
2022_04_10_23_30_13,2
2022_04_10_23_32_14,3
2022_04_10_23_34_14,4
2022_04_10_23_36_15,1
2022_04_10_23_40_17,2
2022_04_10_23_46_20,1
2022_04_10_23_48_21,0
2022_04_10_23_50_21,3
2022_04_10_23_58_25,1
2022_04_11_00_00_26,1
2022_04_11_00_02_26,1
2022_04_11_00_04_27,3
2022_04_11_00_06_28,1
2022_04_11_00_08_28,3
2022_04_11_00_10_29,3
2022_04_11_00_12_30,2
2022_04_11_00_16_31,3
2022_04_11_00_18_32,5
2022_04_11_00_20_32,1
2022_04_11_00_22_34,4
2022_04_11_00_24_34,1
2022_04_11_00_26_35,1
2022_04_11_00_28_36,3
2022_04_11_00_30_37,2
2022_04_11_00_32_38,2
2022_04_11_00_34_39,4
2022_04_11_00_36_39,4
2022_04_11_00_44_43,4
2022_04_11_00_46_43,4
2022_04_11_00_48_44,5
2022_04_11_00_50_45,5
2022_04_11_00_56_47,5
2022_04_11_00_58_48,5
2022_04_11_01_00_48,5
2022_04_11_01_04_50,1
2022_04_11_01_06_51,5
2022_04_11_01_08_51,4
2022_04_11_01_10_52,4
2022_04_11_01_12_52,7
2022_04_11_01_16_54,7
2022_04_11_01_20_56,12
2022_04_11_01_22_58,6
2022_04_11_01_24_59,7
2022_04_11_01_26_59,7
2022_04_11_01_31_01,6
2022_04_11_01_33_02,8
2022_04_11_01_35_02,9
2022_04_11_01_39_04,6
2022_04_11_01_41_05,8
2022_04_11_01_43_05,6
2022_04_11_01_45_06,9
2022_04_11_01_51_09,7
2022_04_11_01_55_10,9
2022_04_11_01_57_11,7
2022_04_11_02_01_13,7
2022_04_11_02_05_14,8
2022_04_11_02_07_15,6
2022_04_11_02_09_16,7
2022_04_11_02_11_17,7
2022_04_11_02_13_17,9
2022_04_11_02_15_18,7
2022_04_11_02_17_19,6
2022_04_11_02_19_20,6
2022_04_11_02_21_21,7
2022_04_11_02_25_23,4
2022_04_11_02_31_26,8
2022_04_11_02_33_26,6
2022_04_11_02_37_28,7
2022_04_11_02_39_29,3
2022_04_11_02_41_30,7
2022_04_11_02_43_31,5
2022_04_11_02_45_32,5
2022_04_11_02_47_33,6
2022_04_11_02_49_34,8
2022_04_11_02_51_34,8
2022_04_11_02_53_35,5
2022_04_11_02_55_36,7
2022_04_11_02_57_36,7
2022_04_11_02_59_37,5
2022_04_11_03_03_39,5
2022_04_11_03_05_40,2
2022_04_11_03_07_40,4
2022_04_11_03_11_42,6
2022_04_11_03_15_43,4
2022_04_11_03_21_45,3
2022_04_11_03_23_46,4
2022_04_11_03_25_47,7
2022_04_11_03_29_49,5
2022_04_11_03_31_49,5
2022_04_11_03_33_50,4
2022_04_11_03_35_51,6
2022_04_11_03_37_52,7
2022_04_11_03_39_52,4
2022_04_11_03_41_53,5
2022_04_11_03_43_54,4
2022_04_11_03_47_55,4
2022_04_11_03_49_56,3
2022_04_11_03_51_57,9
2022_04_11_03_53_58,2
2022_04_11_03_57_59,2
2022_04_11_04_00_00,4
2022_04_11_04_02_02,3
2022_04_11_04_06_03,2
2022_04_11_04_08_04,8
2022_04_11_04_10_05,5
2022_04_11_04_12_06,6
2022_04_11_04_16_08,6
2022_04_11_04_18_09,3
2022_04_11_04_22_10,6
2022_04_11_04_26_12,4
2022_04_11_04_28_13,5
2022_04_11_04_30_14,5
2022_04_11_04_32_15,0
2022_04_11_04_34_16,4
2022_04_11_04_36_17,7
2022_04_11_04_40_18,4
2022_04_11_04_42_19,1
2022_04_11_04_44_20,3
2022_04_11_04_46_20,1
2022_04_11_04_50_22,3
2022_04_11_04_52_23,5
2022_04_11_04_54_24,5
2022_04_11_05_00_28,7
2022_04_11_05_02_29,2
2022_04_11_05_04_30,7
2022_04_11_05_06_31,6
2022_04_11_05_08_32,3
2022_04_11_05_10_32,6
2022_04_11_05_12_33,3
2022_04_11_05_18_36,4
2022_04_11_05_22_37,2
2022_04_11_05_24_38,4
2022_04_11_05_26_39,3
2022_04_11_05_32_42,1
2022_04_11_05_34_43,5
2022_04_11_05_36_43,5
2022_04_11_05_38_44,3
2022_04_11_05_42_45,4
2022_04_11_05_46_47,3
2022_04_11_05_48_49,3
2022_04_11_05_54_51,4
2022_04_11_05_56_52,7
2022_04_11_05_58_53,4
2022_04_11_06_00_54,3
2022_04_11_06_02_55,3
2022_04_11_06_04_56,0
2022_04_11_06_10_59,1
2022_04_11_06_15_01,0
2022_04_11_06_17_02,2
2022_04_11_06_19_03,2
2022_04_11_06_21_04,2
2022_04_11_06_23_05,3
2022_04_11_06_25_06,2
2022_04_11_06_27_06,4
2022_04_11_06_31_08,1
2022_04_11_06_37_11,1
2022_04_11_06_39_11,4
2022_04_11_06_41_13,3
2022_04_11_06_43_14,5
2022_04_11_06_45_15,5
2022_04_11_06_47_16,5
2022_04_11_06_49_17,4
2022_04_11_06_53_19,6
2022_04_11_06_55_21,6
2022_04_11_06_57_21,6
2022_04_11_06_59_22,10
2022_04_11_07_05_24,7
2022_04_11_07_07_25,2
2022_04_11_07_09_26,5
2022_04_11_07_11_26,5
2022_04_11_07_13_27,4
2022_04_11_07_15_28,4
2022_04_11_07_17_29,2
2022_04_11_07_23_31,6
2022_04_11_07_25_31,8
2022_04_11_07_29_33,6
2022_04_11_07_31_34,5
2022_04_11_07_35_35,5
2022_04_11_07_37_36,7
2022_04_11_07_39_37,3
2022_04_11_07_43_39,2
2022_04_11_07_45_39,6
2022_04_11_07_47_41,1
2022_04_11_07_53_56,4
2022_04_11_07_55_57,5
2022_04_11_07_57_58,7
2022_04_11_08_02_01,4
2022_04_11_08_04_02,1
2022_04_11_08_06_02,6
2022_04_11_08_08_04,1
2022_04_11_08_10_05,4
2022_04_11_08_14_06,2
2022_04_11_08_22_11,3
2022_04_11_08_24_12,5
2022_04_11_08_26_13,2
2022_04_11_08_30_15,2
2022_04_11_08_34_16,2
2022_04_11_08_36_17,2
2022_04_11_08_38_18,4
2022_04_11_08_40_19,4
2022_04_11_08_42_20,4
2022_04_11_08_44_21,1
2022_04_11_08_46_21,3
2022_04_11_08_50_24,2
2022_04_11_08_52_24,3
2022_04_11_08_56_26,2
2022_04_11_08_58_26,3
2022_04_11_09_00_28,4
2022_04_11_09_02_29,5
2022_04_11_09_04_30,2
2022_04_11_09_08_31,4
2022_04_11_09_12_33,5
2022_04_11_09_16_34,7
2022_04_11_09_18_35,4
2022_04_11_09_20_36,3
2022_04_11_09_22_37,2
2022_04_11_09_24_38,3
2022_04_11_09_26_39,2
2022_04_11_09_30_41,2
2022_04_11_09_32_42,2
2022_04_11_09_34_42,1
2022_04_11_09_36_43,5
2022_04_11_09_38_44,0
2022_04_11_09_42_45,3
2022_04_11_09_44_46,2
2022_04_11_09_46_47,1
2022_04_11_09_50_49,4
2022_04_11_09_54_51,4
2022_04_11_09_56_52,3
2022_04_11_09_58_53,5
2022_04_11_10_00_54,4
2022_04_11_10_02_55,1
2022_04_11_10_04_56,1
